key	persistant	show_instant	show_on_navigate	is_header	navigation_order
#advice_info_texts_tables;3;db/advice_info_texts_tables/tcs_hp					
war.battle.hp.tcs_phases.001	true	false	true	true	0
war.battle.hp.tcs_phases.002	true	false	true	false	1
war.battle.hp.tcs_phases.003	true	false	true	false	2
war.battle.hp.tcs_phases.004	true	false	true	false	3
war.battle.hp.tcs_phases.005	true	false	true	false	4
war.battle.hp.tcs_phases.006	true	false	true	false	5
war.battle.hp.tcs_phases.007	true	false	true	false	6
war.battle.hp.tcs_phases.008	true	false	true	false	7
war.battle.hp.tcs_phases.009	true	false	true	false	8
war.battle.hp.tcs_phases.010	true	false	true	false	9
war.battle.hp.tcs_phases.011	true	false	true	false	10
war.battle.hp.tcs_phases.012	true	false	true	false	11
war.battle.hp.tcs_phases.013	true	false	true	false	12
war.battle.hp.tcs_phases.014	true	false	true	false	13
war.battle.hp.tcs_phases.015	true	false	true	false	14
war.battle.hp.tcs_phases.016	true	false	true	false	15
war.battle.hp.tcs.001	true	false	true	true	0
war.battle.hp.tcs.002	true	false	true	false	1
war.battle.hp.tcs.003	true	false	true	false	2
war.battle.hp.tcs.004	true	false	true	false	3
war.battle.hp.tcs_info.001	true	false	true	true	0
war.battle.hp.tcs_info.002	true	false	true	false	1
war.battle.hp.tcs_info.003	true	false	true	false	2
war.battle.hp.tcs_info.004	true	false	true	false	3
war.battle.hp.tcs_phases.017	true	false	true	false	16
war.battle.hp.tcs_phases.018	true	false	true	false	17
war.battle.hp.tcs_phases.019	true	false	true	false	18
war.battle.hp.tcs_phases.020	true	false	true	false	19
war.battle.hp.tcs_phases.021	true	false	true	false	20
war.battle.hp.tcs_phases.022	true	false	true	false	21
war.battle.hp.tcs_phases.023	true	false	true	false	22
war.battle.hp.tcs_phases.024	true	false	true	false	23
war.battle.hp.tcs_phases.025	true	false	true	false	24
war.battle.hp.tcs_phases.026	true	false	true	false	25
war.battle.hp.tcs_phases.027	true	false	true	false	26
war.battle.hp.tcs_phases.028	true	false	true	false	27
war.battle.hp.tcs_phases.029	true	false	true	false	28
war.battle.hp.tcs_phases.030	true	false	true	false	29
war.battle.hp.tcs_activations.001	true	false	true	true	0
war.battle.hp.tcs_activations.002	true	false	true	false	1
war.battle.hp.tcs_activations.003	true	false	true	false	2
war.battle.hp.tcs_controls.001	true	false	true	true	0
war.battle.hp.tcs_controls.002	true	false	true	false	1
war.battle.hp.tcs_controls.003	true	false	true	false	2
war.battle.hp.tcs_config.001	true	false	true	true	0
war.battle.hp.tcs_config.002	true	false	true	false	1
war.battle.hp.tcs_config.003	true	false	true	false	2
war.battle.hp.tcs_tips.001	true	false	true	true	0
war.battle.hp.tcs_tips.002	true	false	true	false	1
war.battle.hp.tcs_tips.003	true	false	true	false	2
