army_special_ability	faction
#army_special_abilities_for_faction_junctions_tables;0;db/army_special_abilities_for_faction_junctions_tables/tcs_	
tcs_army_ai_move	wh2_dlc09_rogue_black_creek_raiders
tcs_army_ai_move	wh2_dlc09_rogue_dwellers_of_zardok
tcs_army_ai_move	wh2_dlc09_rogue_eyes_of_the_jungle
tcs_army_ai_move	wh2_dlc09_rogue_pilgrims_of_myrmidia
tcs_army_ai_move	wh2_dlc09_skv_clan_rictus
tcs_army_ai_move	wh2_dlc09_skv_clan_rictus_separatists
tcs_army_ai_move	wh2_dlc09_tmb_dune_kingdoms
tcs_army_ai_move	wh2_dlc09_tmb_exiles_of_nehek
tcs_army_ai_move	wh2_dlc09_tmb_followers_of_nagash
tcs_army_ai_move	wh2_dlc09_tmb_khemri
tcs_army_ai_move	wh2_dlc09_tmb_lybaras
tcs_army_ai_move	wh2_dlc09_tmb_numas
tcs_army_ai_move	wh2_dlc09_tmb_rakaph_dynasty
tcs_army_ai_move	wh2_dlc09_tmb_the_sentinels
tcs_army_ai_move	wh2_dlc09_tmb_tomb_kings
tcs_army_ai_move	wh2_dlc09_tmb_tomb_kings_rebels
tcs_army_ai_move	wh2_dlc09_tmb_tombking_qb1
tcs_army_ai_move	wh2_dlc09_tmb_tombking_qb2
tcs_army_ai_move	wh2_dlc09_tmb_tombking_qb3
tcs_army_ai_move	wh2_dlc09_tmb_tombking_qb4
tcs_army_ai_move	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek
tcs_army_ai_move	wh2_dlc09_tmb_tombking_qb_followers_of_nagash
tcs_army_ai_move	wh2_dlc09_tmb_tombking_qb_khemri
tcs_army_ai_move	wh2_dlc09_tmb_tombking_qb_lybaras
tcs_army_ai_move	wh2_dlc10_def_blood_voyage
tcs_army_ai_move	wh2_dlc11_brt_bretonnia_dil
tcs_army_ai_move	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
tcs_army_ai_move	wh2_dlc11_cst_noctilus
tcs_army_ai_move	wh2_dlc11_cst_noctilus_separatists
tcs_army_ai_move	wh2_dlc11_cst_pirates_of_sartosa
tcs_army_ai_move	wh2_dlc11_cst_pirates_of_sartosa_separatists
tcs_army_ai_move	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
tcs_army_ai_move	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
tcs_army_ai_move	wh2_dlc11_cst_rogue_freebooters_of_port_royale
tcs_army_ai_move	wh2_dlc11_cst_rogue_grey_point_scuttlers
tcs_army_ai_move	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
tcs_army_ai_move	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
tcs_army_ai_move	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
tcs_army_ai_move	wh2_dlc11_cst_shanty_dragon_spine_privateers
tcs_army_ai_move	wh2_dlc11_cst_shanty_middle_sea_brigands
tcs_army_ai_move	wh2_dlc11_cst_shanty_shark_straight_seadogs
tcs_army_ai_move	wh2_dlc11_cst_the_drowned
tcs_army_ai_move	wh2_dlc11_cst_the_drowned_separatists
tcs_army_ai_move	wh2_dlc11_cst_vampire_coast
tcs_army_ai_move	wh2_dlc11_cst_vampire_coast_encounters
tcs_army_ai_move	wh2_dlc11_cst_vampire_coast_qb1
tcs_army_ai_move	wh2_dlc11_cst_vampire_coast_qb2
tcs_army_ai_move	wh2_dlc11_cst_vampire_coast_qb3
tcs_army_ai_move	wh2_dlc11_cst_vampire_coast_qb4
tcs_army_ai_move	wh2_dlc11_cst_vampire_coast_rebellion_rebels
tcs_army_ai_move	wh2_dlc11_cst_vampire_coast_rebels
tcs_army_ai_move	wh2_dlc11_cst_vampire_coast_separatists
tcs_army_ai_move	wh2_dlc11_def_dark_elves_dil
tcs_army_ai_move	wh2_dlc11_def_the_blessed_dread
tcs_army_ai_move	wh2_dlc11_def_the_blessed_dread_separatists
tcs_army_ai_move	wh2_dlc11_emp_empire_dil
tcs_army_ai_move	wh2_dlc11_emp_empire_qb5
tcs_army_ai_move	wh2_dlc11_nor_norsca_dil
tcs_army_ai_move	wh2_dlc11_nor_norsca_qb4
tcs_army_ai_move	wh2_dlc11_vmp_the_barrow_legion
tcs_army_ai_move	wh2_dlc12_grn_leaf_cutterz_tribe
tcs_army_ai_move	wh2_dlc12_grn_leaf_cutterz_tribe_waaagh
tcs_army_ai_move	wh2_dlc12_lzd_cult_of_sotek
tcs_army_ai_move	wh2_dlc12_skv_clan_fester
tcs_army_ai_move	wh2_dlc12_skv_clan_mange
tcs_army_ai_move	wh2_dlc13_bst_beastmen_invasion
