ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/tcs_	
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_skv_cha_tretch_craventail
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_art_casket_of_souls_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_art_screaming_skull_catapult_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cav_hexwraiths
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cav_necropolis_knights_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cav_necropolis_knights_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cav_necropolis_knights_ror
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cav_nehekhara_horsemen_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cav_skeleton_horsemen_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_arkhan_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_arkhan_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_arkhan_2
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_khalida_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_khalida_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_khalida_2
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_khatep_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_khatep_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_khatep_2
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_khatep_3
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_liche_priest_death_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_liche_priest_death_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_liche_priest_light_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_liche_priest_light_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_liche_priest_nehekhara_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_liche_priest_nehekhara_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_liche_priest_shadow_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_liche_priest_shadow_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_necrotect_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_necrotect_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_settra_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_settra_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_settra_2
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_settra_3
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_tomb_king_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_tomb_king_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_tomb_king_2
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_tomb_king_3
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_tomb_prince_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_tomb_prince_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_cha_tomb_prince_2
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_crypt_ghouls
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_nehekhara_warriors_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_nehekhara_warriors_ror
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_skeleton_archers_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_skeleton_archers_ror
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_skeleton_spearmen_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_skeleton_spearmen_ror
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_skeleton_warriors_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_skeleton_warriors_0_summoned
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_tomb_guard_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_tomb_guard_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_inf_tomb_guard_ror
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_carrion_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_carrion_ror
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_dire_wolves
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_fell_bats
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_heirotitan_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_khemrian_warsphinx_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_necrosphinx_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_necrosphinx_ror
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_sepulchral_stalkers_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_tomb_scorpion_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_ushabti_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_ushabti_0_summoned
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_ushabti_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_mon_ushabti_ror
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc09_tmb_veh_skeleton_chariot_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cav_doomfire_warlocks_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cav_raven_heralds_ror_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cav_slaanesh_harvesters_ror_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_crone_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_crone_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_crone_4
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_crone_5
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_sorceress_beasts_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_sorceress_beasts_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_sorceress_beasts_2
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_sorceress_beasts_3
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_sorceress_death_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_sorceress_death_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_sorceress_death_2
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_sorceress_death_3
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_supreme_sorceress_beasts_0
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_supreme_sorceress_beasts_1
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_supreme_sorceress_beasts_2
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_supreme_sorceress_beasts_3
tcs_main_unit_passive_inactive_fighting	wh2_dlc10_def_cha_supreme_sorceress_beasts_4
