id	duration	effect_type	requested_stance	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	damage_amount	max_damaged_entities	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group	spreading	freeze_recharge	heal_amount	barrier_heal_amount	remove_magical	execute_ratio
#special_ability_phases_tables;44;db/special_ability_phases_tables/tcs_spells																														
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	wh2_tmb_spell_nehekhara_djafs_incantation_of_cursed_blades	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	wh2_tmb_spell_nehekhara_djafs_incantation_of_cursed_blades	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	wh2_tmb_spell_nehekhara_nerus_incantation_of_protection	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	wh2_tmb_spell_nehekhara_nerus_incantation_of_protection	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	wh2_tmb_spell_nehekhara_ptras_incantation_of_righteous_smiting	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	wh2_tmb_spell_nehekhara_ptras_incantation_of_righteous_smiting	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
wh2_dlc11_spell_deep_spiteful_shot	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0		wh2_dlc11_spell_deep_spiteful_shot	wh2_dlc11_spell_deep_spiteful_shot	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
wh2_dlc11_spell_deep_spiteful_shot_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0		wh2_dlc11_spell_deep_spiteful_shot	wh2_dlc11_spell_deep_spiteful_shot	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
wh2_dlc14_spell_stealth_armour_of_darkness	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc14_spell_stealth_armour_of_darkness	wh2_dlc14_spell_stealth_armour_of_darkness	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh2_dlc14_spell_stealth_armour_of_darkness_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc14_spell_stealth_armour_of_darkness	wh2_dlc14_spell_stealth_armour_of_darkness_upgraded	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh2_dlc17_spell_wild_mantle_of_ghorok_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_dlc03_spell_wild_mantle_of_ghorok	wh_dlc03_spell_wild_mantle_of_ghorok	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh2_main_spell_bound_embers_of_the_phoenix	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	10		wh_main_spell_fire_flaming_sword_of_rhuin	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh2_main_spell_bound_the_seerstaff_of_saphery	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_main_spell_high_magic_hand_of_glory	wh2_main_spell_high_magic_hand_of_glory	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh2_main_spell_high_magic_hand_of_glory	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_main_spell_high_magic_hand_of_glory	wh2_main_spell_high_magic_hand_of_glory	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh2_main_spell_high_magic_hand_of_glory_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_main_spell_high_magic_hand_of_glory	wh2_main_spell_high_magic_hand_of_glory	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh2_main_spell_plague_bless_with_filth	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0	wh_main_unit_contact_poison	wh2_main_spell_plague_bless_with_filth	wh2_main_spell_plague_bless_with_filth	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh2_main_spell_plague_bless_with_filth_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0	wh_main_unit_contact_poison	wh2_main_spell_plague_bless_with_filth	wh2_main_spell_plague_bless_with_filth	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh2_main_spell_ruin_death_frenzy	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_main_spell_ruin_death_frenzy	wh_main_spell_ruin_death_frenzy	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh2_main_spell_ruin_skitterleap	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_main_spell_ruin_skitterleap	wh2_dlc14_spell_stealth_skitterleap	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh2_main_spell_ruin_skitterleap_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_main_spell_ruin_skitterleap	wh2_dlc14_spell_stealth_skitterleap	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_dlc23_item_abilities_spell_wrought_sceptre	-1.0000	positive		false	false	0.0000	0.0000	-30.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_dlc24_spell_hags_curse_of_the_ancient_witch_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0		wh3_dlc24_curse_of_the_ancient_widow_upcast	wh3_dlc24_curse_of_the_ancient_widow	false	true	false	0.0000		wh3_dlc24_spell_hags_curse_of_the_ancient_witch_upgraded	false	0.0000	0.0000	false	0.0000
wh3_dlc24_spell_hags_malediction_of_madness_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_dlc24_malediction_of_madness_upcast	wh3_dlc24_malediction_of_madness	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_great_maw_bullgorger	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_spell_great_maw_bullgorger	wh3_main_spell_great_maw_bullgorger	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_great_maw_bullgorger_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_spell_great_maw_bullgorger	wh3_main_spell_great_maw_bullgorger	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_great_maw_toothcracker	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_spell_great_maw_toothcracker	wh3_main_spell_great_maw_toothcracker	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_great_maw_toothcracker_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_spell_great_maw_toothcracker	wh3_main_spell_great_maw_toothcracker	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_ice_crystal_sanctuary	-1.0000	positive		true	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_ice_crystal_sanctuary	wh3_main_spell_ice_crystal_sanctuary	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_ice_crystal_sanctuary_upgraded	-1.0000	positive		true	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_ice_crystal_sanctuary	wh3_main_spell_ice_crystal_sanctuary	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_ice_frost_blades	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0		wh3_main_ice_frost_blade	wh3_main_spell_ice_frost_blades	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_ice_frost_blades_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0		wh3_main_ice_frost_blade	wh3_main_spell_ice_frost_blades	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_nurgle_curse_of_the_leper	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_nurgle_curse_of_the_leper_entity	wh3_main_spell_nurgle_curse_of_the_leper	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_nurgle_curse_of_the_leper_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_nurgle_curse_of_the_leper_entity	wh3_main_spell_nurgle_curse_of_the_leper	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_slaanesh_hysterical_frenzy	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_spell_slaanesh_hysterical_frenzy	wh3_main_spell_slaanesh_hysterical_frenzy	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_slaanesh_hysterical_frenzy_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_spell_slaanesh_hysterical_frenzy	wh3_main_spell_slaanesh_hysterical_frenzy	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_tempest_gust_of_true_flight	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_tempest_gust_of_true_flight	wh3_main_spell_tempest_gust_of_true_flight	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_tempest_gust_of_true_flight_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_tempest_gust_of_true_flight	wh3_main_spell_tempest_gust_of_true_flight	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_tempest_swiftwing	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_tempest_swiftwing	wh3_main_character_magic_swiftwing	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_tempest_swiftwing_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_tempest_swiftwing		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_yang_jade_shield	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_yang_jade_shield	wh3_main_spell_yang_jade_shield	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_yang_jade_shield_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_yang_jade_shield	wh3_main_spell_yang_jade_shield	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_yang_might_of_heaven_and_earth	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	10		wh3_main_yang_might_heaven_earth	wh3_main_spell_yang_might_of_heaven_and_earth	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_yang_might_of_heaven_and_earth_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	10		wh3_main_yang_might_heaven_earth	wh3_main_spell_yang_might_of_heaven_and_earth	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_yang_stone_ground_stance	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_spell_yang_stone_ground	wh3_main_spell_yang_stone_ground_stance	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_yang_stone_ground_stance_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_spell_yang_stone_ground	wh3_main_spell_yang_stone_ground_stance	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_yin_cloak_of_jet	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_spell_yin_cloak_of_jet	wh3_main_spell_yin_cloak_of_jet	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh3_main_spell_yin_cloak_of_jet_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh3_main_spell_yin_cloak_of_jet	wh3_main_spell_yin_cloak_of_jet	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc03_spell_beasts_panns_impenetrable_pelt	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_dlc03_spell_beasts_panns_impenetrable_pelt	wh_dlc03_spell_beasts_panns_impenetrable_pelt	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_dlc03_spell_beasts_panns_impenetrable_pelt	wh_dlc03_spell_beasts_panns_impenetrable_pelt	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc03_spell_beasts_wyssans_wildform	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_dlc03_spell_beasts_wyssans_wildform	wh_dlc03_spell_beasts_wyssans_wildform	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc03_spell_wild_mantle_of_ghorok	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_dlc03_spell_wild_mantle_of_ghorok	wh_dlc03_spell_wild_mantle_of_ghorok	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc04_spell_bound_hammer_of_sigmar_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_banner	wh_ability_positive_one_shot	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc04_spell_bound_shield_of_faith_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_ward_save_all	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc05_spell_life_flesh_to_stone	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_dlc05_spell_life_flesh_to_stone	wh_dlc05_spell_life_flesh_to_stone	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc05_spell_life_flesh_to_stone_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_dlc05_spell_life_flesh_to_stone	wh_dlc05_spell_life_flesh_to_stone	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc05_spell_life_shield_of_thorns	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_dlc05_spell_life_shield_of_thorns	wh_dlc05_spell_life_shield_of_thorns	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc05_spell_life_shield_of_thorns_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_dlc05_spell_life_shield_of_thorns	wh_dlc05_spell_life_shield_of_thorns	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc05_spell_shadow_okkams_mindrazor	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0		wh_main_shadow_buff_attack_passive	wh_dlc05_spell_shadow_okkams_mindrazor	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc05_spell_shadow_okkams_mindrazor_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0		wh_main_shadow_buff_attack_passive	wh_dlc05_spell_shadow_okkams_mindrazor	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_big_waaagh_ere_we_go	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_big_waaagh_ere_we_go	wh_main_spell_big_waaagh_ere_we_go	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_big_waaagh_fists_of_gork	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0		wh_main_spell_big_waaagh_fists_of_gork	wh_main_spell_big_waaagh_fists_of_gork	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_bound_bironas_timewarp	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_light_bironas_timewarp	wh_main_spell_light_bironas_timewarp	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_bound_book_of_arkhan	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_bound_hammer_of_sigmar	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_banner	wh_ability_positive_one_shot	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_bound_shield_of_faith	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_ward_save_all	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_bound_staff_of_damnation	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_vampires_vanhels_danse_macabre		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_death_aspect_of_the_dreadknight	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0		wh_main_spell_death_aspect_of_the_dreadknight	wh_main_spell_death_aspect_of_the_dreadknight	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_death_aspect_of_the_dreadknight_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	0		wh_main_spell_death_aspect_of_the_dreadknight	wh_main_spell_death_aspect_of_the_dreadknight	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_fire_cascading_fire_cloak	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_fire_cascading_fire_cloak	wh_main_spell_fire_cascading_fire_cloak	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_fire_flaming_sword_of_rhuin	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	10		wh_main_spell_fire_flaming_sword_of_rhuin	wh_main_spell_fire_flaming_sword_of_rhuin	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_fire_flaming_sword_of_rhuin_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	true	10		wh_main_spell_fire_flaming_sword_of_rhuin	wh_main_spell_fire_flaming_sword_of_rhuin	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_heavens_harmonic_convergence	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_heavens_harmonic_convergence	wh_main_spell_heavens_harmonic_convergence	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_heavens_harmonic_convergence_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_heavens_harmonic_convergence	wh_main_spell_heavens_harmonic_convergence	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_light_bironas_timewarp	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_light_bironas_timewarp	wh_main_spell_light_bironas_timewarp	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_light_bironas_timewarp_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_light_bironas_timewarp	wh_main_spell_light_bironas_timewarp	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_light_light_of_battle	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_light_light_of_battle	wh_main_spell_light_light_of_battle	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_light_light_of_battle_upgraded	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_light_light_of_battle	wh_main_spell_light_light_of_battle	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_light_phas_protection	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_light_phas_protection	wh_main_spell_light_phas_protection	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
